"motusRecvID","recvProjectID","receiverID","receiverType","recvDeployID","deploymentStatus","deploymentName","siteName","dtStart","dtEnd","tsStart","tsEnd","latitude","longitude","elevation","isMobile","macAddress","locationPrecision"
"388","1","SG-5113BBBK0752","SENSORGNOME","2017","terminated","Luther_Marsh","Luther_Marsh","2014-11-19 00:00:00 +00:00","2015-04-19 13:00:00 +00:00","1416355200","1429448400","43.94740000","-80.46400000","","false","0","Exact"
"388","1","SG-5113BBBK0752","SENSORGNOME","2116","terminated","Luther_Marsh","Luther_Marsh","2015-04-19 13:00:00 +00:00","2016-11-15 00:00:00 +00:00","1429448400","1479168000","43.94740000","-80.46400000","","false","0","Exact"
"388","1","SG-5113BBBK0752","SENSORGNOME","3750","terminated","Luther_Marsh","Luther_Marsh","2016-11-15 00:00:00 +00:00","2017-05-05 15:30:00 +00:00","1479168000","1493998200","43.94740000","-80.46400000","","false","0","Exact"
"388","1","SG-5113BBBK0752","SENSORGNOME","3970","terminated","Luther_Marsh","Luther_Marsh","2017-05-05 16:00:00 +00:00","2022-04-17 13:00:00 +00:00","1494000000","1650200400","43.94740000","-80.46400000","","false","0","Exact"
"388","1","SG-5113BBBK0752","SENSORGNOME","8590","active","Luther_Marsh","Luther_Marsh","2022-04-28 00:00:00 +00:00","","1651104000","","43.94740000","-80.46400000","","false","0","Exact"
"389","1","SG-5113BBBK2024","SENSORGNOME","674","terminated","Peers","Peers","2014-05-06 00:00:00 +00:00","2014-09-25 00:00:00 +00:00","1399334400","1411603200","42.60560000","-82.36000000","","false","0","Exact"
"389","1","SG-5113BBBK2024","SENSORGNOME","1122","terminated","Peers","Peers","2014-09-25 00:00:00 +00:00","2014-11-11 00:00:00 +00:00","1411603200","1415664000","42.60560000","-82.36000000","","false","0","Exact"
"389","1","SG-5113BBBK2024","SENSORGNOME","1995","terminated","Peers","Peers","2014-11-11 00:00:00 +00:00","2015-04-09 15:00:00 +00:00","1415664000","1428591600","42.60560000","-82.36000000","","false","0","Exact"
"389","1","SG-5113BBBK2024","SENSORGNOME","2117","terminated","Peers","Peers","2015-04-09 15:00:00 +00:00","2016-11-18 00:00:00 +00:00","1428591600","1479427200","42.60560000","-82.36000000","","false","0","Exact"
"389","1","SG-5113BBBK2024","SENSORGNOME","3758","terminated","Peers","Peers","2016-11-18 00:00:00 +00:00","2017-04-08 00:00:00 +00:00","1479427200","1491609600","42.60560000","-82.36000000","","false","0","Exact"
